Date,Mkt_Prem,SMB,HML,RMW,CMA,RF
2021-05-18,-0.69,0.06,-0.94,-1.03,-0.43,0
2021-05-19,-0.34,-0.52,-0.46,-0.18,-0.32,0
2021-05-20,1.15,-0.49,-1.42,-0.85,-0.48,0
2021-05-21,-0.04,0.46,0.98,-0.11,-0.07,0
2021-05-24,0.99,-0.48,-0.69,0.25,-0.29,0
2021-05-25,-0.3,-0.85,-1.23,0.2,-0.16,0
2021-05-26,0.47,1.78,0.56,-0.54,0.14,0
2021-05-27,0.28,1.08,0.94,-0.26,0.28,0
2021-05-28,0.04,-0.37,-0.3,-0.19,-0.42,0
2021-06-01,0.03,1.4,1.45,0.3,0.39,0
2021-06-02,0.12,-0.21,0.31,-0.08,0.69,0
2021-06-03,-0.53,-0.25,0.72,0.41,0.32,0
2021-06-04,0.89,-0.6,-0.89,-0.13,-0.21,0
2021-06-07,0.15,1.28,-0.96,-1.02,-0.19,0
2021-06-08,0.19,1.08,-0.31,0.06,-0.06,0
2021-06-09,-0.3,-0.45,-0.84,0.15,0.17,0
2021-06-10,0.4,-1.33,-2.04,-0.56,-1.06,0
2021-06-11,0.37,0.71,0.18,0.04,-0.02,0
2021-06-14,0.15,-0.75,-1.61,-0.59,-0.48,0
2021-06-15,-0.3,0.21,1.3,0.69,0.11,0
2021-06-16,-0.45,0.43,0.2,-0.34,-0.25,0
2021-06-17,0.01,-1.34,-3.57,-0.7,-1.09,0
2021-06-18,-1.22,-0.8,-1.44,-0.44,-0.7,0
2021-06-21,1.34,0.83,1.06,0.41,0.32,0
2021-06-22,0.58,-0.1,-0.43,0.19,0.21,0
2021-06-23,0.01,0.51,-0.29,-0.48,-0.22,0
2021-06-24,0.69,0.74,0.23,-0.38,0.26,0
2021-06-25,0.31,-0.5,0.43,-0.13,0.06,0
2021-06-28,0.22,-0.85,-1.6,-0.51,-0.13,0
2021-06-29,0,-0.4,-0.29,0.31,0.4,0
2021-06-30,0.07,0.12,0.76,0.72,0.62,0
2021-07-01,0.43,0.4,0.41,0.01,0.42,0
2021-07-02,0.56,-1.52,-0.72,0.66,-0.16,0
2021-07-06,-0.28,-1.04,-1.99,0.56,-0.7,0
2021-07-07,0.09,-0.86,0.08,1.7,0.33,0
2021-07-08,-0.86,-0.01,-0.77,-0.22,-0.03,0
2021-07-09,1.25,0.85,1.57,-0.18,0.36,0
2021-07-12,0.23,-0.01,0.56,0.29,-0.29,0
2021-07-13,-0.56,-1.23,-0.41,0.72,0.12,0
2021-07-14,-0.26,-1.17,0.34,1.93,0.6,0
2021-07-15,-0.38,-0.27,0.79,0.34,-0.06,0
2021-07-16,-0.77,-0.4,-1.25,0.12,-0.83,0
2021-07-19,-1.41,0.03,-1.74,-0.42,-1.12,0
2021-07-20,1.69,0.84,0.16,-0.57,0.39,0
2021-07-21,0.95,0.72,0.79,-0.98,0.05,0
2021-07-22,0.09,-1.56,-1.01,0.5,-0.38,0
2021-07-23,0.98,-0.34,-0.47,0.49,-0.32,0
2021-07-26,0.18,0.1,1.33,0.28,0.87,0
2021-07-27,-0.66,-0.47,0.6,0.45,0.12,0
2021-07-28,0.27,1.21,-0.66,-1.56,-0.72,0
2021-07-29,0.41,0.22,0.94,0.82,0.52,0
2021-07-30,-0.65,-0.08,-0.17,0.56,0.39,0
2021-08-02,-0.12,-0.12,-0.41,-0.06,-0.32,0
2021-08-03,0.73,-0.41,0.92,0.64,0.2,0
2021-08-04,-0.39,-0.95,-1.56,-0.37,-1.1,0
2021-08-05,0.74,1.07,-0.1,-1.32,-0.42,0
2021-08-06,0.09,0.47,1.88,0.58,0.33,0
